stopword
र
को
मा
ले
छ
हो
छन्
थियो
थिए
भएको
गरेको
गरेका
भयो
हुन्
हुन
गर्छ
गर्न
गर्छन्
पनि
त्यसपछि
यसबाहेक
जस्ता
अन्य
विभिन्न
धेरै
सबै
लगभग
मुख्य
प्रमुख
आफ्नो
यहाँ
त्यहाँ
यी
ती
एउटा
एक
दुई
